L0,L1,L2,Graph
0.32804814,0.5385009,,
0.22830358,0.61168224,,
0.16396698,-0.059392057,,
-0.37353373,-0.64935935,,
0.16718253,0.3735024,,
0.007984715,1.0,,
0.88374656,0.57946455,,
-1.0,-0.4244783,,
0.18100135,-0.58303386,,
-0.6060458,-0.2621285,,
-1.0,-0.6604948,,
0.15118971,-0.8297572,,
-0.23679772,0.7608768,,
-0.6573996,0.90070796,,
-0.5732538,,,
0.8199233,,,
0.107294,,,
0.68995225,,,
-1.0,,,
-0.3245485,,,
-0.24234515,,,
-0.5813266,,,
0.5132935,,,
0.0877139,,,
-0.97161907,,,
1.0,,,
0.08217647,,,
0.8268625,,,
0.51816785,,,
-0.15287378,,,
-0.09778652,,,
0.50343984,,,
-0.39156795,,,
0.10986498,,,
0.5375879,,,
0.1450445,,,
0.6837582,,,
-0.3198743,,,
-0.6366021,,,
-0.82881516,,,
0.41052783,,,
0.60700417,,,
0.10315917,,,
-0.35097224,,,
0.24127603,,,
-1.0,,,
0.70567876,,,
-0.28226435,,,
0.34147257,,,
-0.51405084,,,
0.14486654,,,
0.32690704,,,
-0.3380102,,,
-0.18222253,,,
0.703141,,,
0.14865837,,,
0.426788,,,
0.015345867,,,
0.85772437,,,
-0.49628192,,,
-0.2457791,,,
0.21219657,,,
-0.73913145,,,
1.0,,,
-0.9521476,,,
0.57348025,,,
0.9216393,,,
0.034255754,,,
0.1382828,,,
-0.8045306,,,
-0.8840098,,,
0.52031314,,,
0.6049659,,,
0.77342534,,,
-0.56054276,,,
-0.14646736,,,
0.560923,,,
-0.93257475,,,
-0.35401404,,,
-0.9067463,,,
0.32447168,,,
-1.0,,,
-0.7475292,,,
0.08965856,,,
0.3788445,,,
1.0,,,
-0.38984424,,,
-0.08088105,,,
-0.81995344,,,
0.36225927,,,
0.027386352,,,
-0.80102634,,,
-0.4176089,,,
-0.9280224,,,
-1.0,,,
0.8007927,,,
0.54273415,,,
-0.71445686,,,
0.98519284,,,
-0.20014355,,,
-0.9773176,,,
0.086201295,,,
-0.28449,,,
-0.7165095,,,
-0.57527274,,,
-0.43842787,,,
0.98337775,,,
-0.8002126,,,
-0.8612951,,,
-0.66796106,,,
-1.0,,,
0.5604001,,,
-0.36438924,,,
-0.57163835,,,
-0.41187274,,,
0.69050366,,,
0.13216686,,,
-0.6502014,,,
0.5398184,,,
0.42998153,,,
-0.54436177,,,
-0.75193954,,,
-0.75921637,,,
0.012313798,,,
-0.010813147,,,
-0.2993843,,,
0.5323322,,,
-0.5207076,,,
0.07393175,,,
0.26920325,,,
-0.28248766,,,
-0.9813837,,,
-0.85931736,,,
-0.13643196,,,
-0.024627805,,,
-0.24270628,,,
0.7462008,,,
-0.048897028,,,
0.6068485,,,
1.0,,,
0.45092952,,,
0.52224606,,,
